avg_spend_week6,balance_week6_start,avg_spend_week1,balance_week1_start,avg_spend_week2,balance_week2_start,avg_spend_week3,balance_week3_start,avg_spend_week4,balance_week4_start,avg_spend_week5,balance_week5_start,avg_spend_5weeks,balance_5weeks,label
1149595.7865354347,1185260.448662222,4155440.1502238363,4370861.069626262,4542587.937013103,7587945.476302646,375036.9971501218,2404167.7639819286,1318971.8996597694,1522752.5095137951,4538770.081048272,6410035.105688879,2986161.41301902,4459152.385022703,0
1329637.7108054438,3629301.8368169633,1803180.2810224115,8491983.767203797,483532.18076104857,2636424.704863906,1961634.0955373559,3738180.1866358393,1423383.9277257768,4887505.167779041,907641.36257561,6506676.052501415,1315874.3695244407,5252153.975796799,2
7833926.721260488,9690688.297671035,4008032.656273983,5104629.857953323,1438346.655520745,2797064.0394252376,294111.5237448302,6331731.119758382,1102933.6049282544,6467903.667112946,1504424.1790845324,1585464.3368675157,1669569.7239104689,4457358.60422348,1
1979066.6838670445,3805399.6848046985,365442.5511219257,3741523.922560336,3150654.3500044863,7158097.238609412,1039051.5545241103,2098344.1136030094,1190752.0567052478,1309496.6900369655,2205549.825346504,3329019.8344001523,1590290.067540455,3527296.359841975,1
457754.6105103839,1407045.6001948426,1094410.934689424,5920392.514089517,7539144.653421213,9726261.649881028,8461031.487912823,9455490.474077702,5882571.505304378,6381099.809299766,352069.9871120505,1796432.5184672754,4665845.713687977,6655935.393163058,1
1579829.9923120376,7950202.923669917,1220553.8878415828,4498095.607205338,3017647.0968049765,8458637.582367364,1914854.6054401693,3528410.587186427,1819637.8708627583,2268318.024772864,1649044.443865049,1670955.7931179374,1924347.580962907,4084883.518929986,1
252840.34343886594,3978082.223673843,855989.0901142035,1049699.0541124216,5366743.802066919,7361716.094628554,588020.6496528182,7941433.120173512,489684.8410708675,4226191.556898453,5465034.864287906,8767930.83288034,2553094.649438543,5869394.131738656,1
3920097.381991706,7938704.619591049,1235319.7022305538,3798840.89544096,4824050.302672424,7566455.605042577,4242810.81470762,8984914.683186939,1480944.5396992217,2076348.2134447154,4404378.897933682,7847065.437552077,3237500.8514487008,6054724.966933453,1
3546138.7011867976,4693446.307320667,2438948.554189363,5704595.464437947,132573.97970940135,1228772.1406968567,816427.1601610028,1282862.6711806082,1947420.838274414,3829203.82968694,2285535.653621255,9168098.265334837,1524181.237191087,4242706.474267438,1
4871895.183503804,9033030.9864098,235495.66916563816,3059183.489424602,581648.2072562859,3607763.076223912,7569888.956785464,9367278.871083157,5839338.293468937,6700633.8085938115,1536040.3792952104,8233048.69209203,3152482.3011943074,6193581.587483503,1
1056500.0062526278,4756699.028339012,7407952.18418602,8266961.396476563,425023.97437195934,3862031.2747467747,1303283.7376373513,3051416.462877475,7197543.522519262,8362132.893302438,542704.3398213208,1062569.1747807164,3375301.551707182,4921022.240436793,1
1647379.9199231043,5475236.553031469,701830.4702431093,2078788.3060031452,3065963.5604388905,9486187.335212672,3985495.743938607,5669115.595690295,4152100.673773266,4272666.421413645,2432727.0016082893,9662025.654479,2867623.490000433,6233756.662559751,1
2389292.2660780763,9870854.086995406,131449.0142393995,3563564.4493972086,3260415.8592303563,6486079.005819072,407745.81240874156,1463308.761249904,2197834.9265013314,9174392.973699883,1127725.516133585,2304053.8488210076,1425034.2257026827,4598279.807797415,1
725001.2893603239,3887020.5847456227,5368824.168904918,7049219.926652907,2285680.2498249784,3138737.895931597,2725268.603504785,4310048.19447328,3590637.309788782,6701767.396848053,1514075.9278628693,1812607.9304896747,3096897.2519772667,4602476.268879103,0
1296900.8762944655,9430569.898630612,807736.6338081465,1366976.2739928751,117741.7244245224,7098079.256580542,1270378.0031147443,5608837.524693529,1186834.7089989255,6806555.113685049,2791625.755055042,7218439.642922194,1234863.365080276,5619777.562374838,2
1649015.1914140289,1837924.9102530929,461791.51971375453,4069597.1594523266,8178770.263605287,9322242.564507065,2192120.2779349918,3321474.6494364003,4638702.670878782,8354999.801810943,1394727.142669796,5766855.205204058,3373222.374960522,6167033.876082159,1
2205643.610850728,2454658.426851524,5763605.31458069,9103762.514469974,1414741.6166308855,4051268.119438306,6758470.850020547,7533601.109832155,7006228.629977439,8983777.818386056,570324.6470932671,6778284.81538859,4302674.211660566,7290138.875503016,1
1757923.9210867605,7409612.992127823,59393.2858882505,6457861.536936309,1269440.7029596819,1913243.885794289,168133.5423360691,1045554.2546159682,4108891.6607627864,5938604.104299275,1540203.4226337252,6867651.335523405,1429212.5229161025,4444583.023433849,1
3835491.8410161184,9757094.992772011,2932664.106253058,3928597.2834334094,5814374.605377038,6846696.091424932,3931852.182562944,6918516.03070309,677727.0353642507,1843072.9104528322,826349.3234046587,3386821.309135529,2836593.45059239,4584740.725029958,1
1205991.011205965,6809250.66316451,5698183.960437936,9028418.99659402,4098151.881719096,8153301.731874836,3049736.0311207287,6192134.9616372315,1991935.500983567,2757186.8901824006,85761.2284913804,3526951.2619677023,2984753.7205505418,5931598.768451238,1
1405622.1243300831,3650040.028626271,9028101.448917376,9464127.259176228,3417963.822601362,9233779.511984035,1057456.5389346564,1139109.548759807,4691811.252725041,4853657.334855828,8250802.022876723,9672579.793803276,5289227.017211032,6872650.689715835,0
1171816.942637112,2260756.1371287163,2744617.4705487383,8660230.043651711,1406165.2404494968,2525434.7201748323,6560354.350713876,9425392.96744703,595745.4054680843,6130550.530804285,6470066.303823389,6535065.0402925275,3555389.754200717,6655334.660474077,1
2809535.2014260143,5602081.58974844,6590142.557475691,8896357.6473516,5109266.263026022,7273141.668957411,1243484.8750148576,4235420.360977797,6711182.213354646,8284250.399306622,8039850.982495104,8803650.867220934,5538785.3782732645,7498564.188762873,0
2816533.0329381214,5190382.163192142,5319731.582757427,8184656.610700976,5823373.525413786,7317701.8953193305,3045352.6128085335,9010048.076358097,411664.06998323754,4380246.573759496,223004.60222687,6204521.268965566,2964625.278637971,7019434.885020693,1
563806.5727129906,6606014.282371002,2114516.1811113423,3578871.26915456,47600.35057381092,1274502.249451445,3026827.8535346636,8403405.045936923,1119451.7272187995,2143544.613866963,1711448.2256580286,7929941.977887497,1603968.8676193287,4666053.031259478,1
388417.3639734048,4950742.786350725,778506.5287613277,1465135.4905174694,3738982.8323278166,5865716.094490958,7352871.720499394,7534822.003503954,1823639.3281324636,5646703.134710758,2209090.8569776462,8156675.752918333,3180618.2533397293,5733810.495228294,1
